heart_rate,motion
140,10.9152
138,10.9152
138,10.9152
134,10.9152
133,10.9152
133,10.9152
127,10.9152
127,10.9152
126,10.9152
120,10.9152
119,10.9152
115,10.9152
107,10.9152
106,10.9152
145,10.9512
142,10.9512
142,10.9512
139,10.9512
137,10.9512
137,10.9512
137,10.9512
134,10.9512
134,10.9512
134,10.9512
133,10.9512
132,10.9512
132,10.9512
126,10.9512
126,10.9512
118,10.9512
145,10.9836
140,10.9836
139,10.9836
139,10.9836
139,10.9836
139,10.9836
138,10.9836
136,10.9836
135,10.9836
129,10.9836
124,10.9836
116,10.9836
146,11.016
144,11.016
141,11.016
138,11.016
137,11.016
136,11.016
135,11.016
132,11.016
132,11.016
131,11.016
129,11.016
145,11.052
142,11.052
141,11.052
140,11.052
137,11.052
137,11.052
136,11.052
131,11.052
127,11.052
125,11.052
124,11.052
145,11.0844
145,11.0844
143,11.0844
141,11.0844
141,11.0844
139,11.0844
138,11.0844
136,11.0844
136,11.0844
135,11.0844
133,11.0844
132,11.0844
131,11.0844
130,11.0844
130,11.0844
129,11.0844
128,11.0844
127,11.0844
146,11.1168
144,11.1168
143,11.1168
138,11.1168
138,11.1168
138,11.1168
137,11.1168
137,11.1168
136,11.1168
135,11.1168
134,11.1168
134,11.1168
133,11.1168
133,11.1168
133,11.1168
133,11.1168
133,11.1168
133,11.1168
130,11.1168
130,11.1168
129,11.1168
127,11.1168
126,11.1168
126,11.1168
126,11.1168
125,11.1168
123,11.1168
144,11.1528
143,11.1528
141,11.1528
138,11.1528
138,11.1528
136,11.1528
136,11.1528
136,11.1528
136,11.1528
133,11.1528
133,11.1528
133,11.1528
132,11.1528
130,11.1528
126,11.1528
125,11.1528
124,11.1528
118,11.1528
90,11.1528
146,11.1852
145,11.1852
145,11.1852
143,11.1852
141,11.1852
140,11.1852
139,11.1852
137,11.1852
136,11.1852
136,11.1852
135,11.1852
134,11.1852
134,11.1852
133,11.1852
133,11.1852
133,11.1852
131,11.1852
130,11.1852
130,11.1852
129,11.1852
127,11.1852
126,11.1852
121,11.1852
146,11.2176
146,11.2176
145,11.2176
140,11.2176
139,11.2176
139,11.2176
137,11.2176
136,11.2176
134,11.2176
